Ukazatel,Území,Roky,Hodnota,Meziroční nárůst (%),Meziroční růst (%)
Vývoz (meziroční index),Česko,2024,104.9690195136,,4.969019513600003
Vývoz (meziroční index),Česko,2023,100.7969446977,-3.974577294550663,0.796944697699999
Vývoz (meziroční index),Česko,2022,113.5501707041,12.652393427844654,13.550170704099997
Vývoz (meziroční index),Česko,2021,113.1407234207,-0.3605871139260364,13.140723420699999
Vývoz (meziroční index),Česko,2020,92.9252924552,-17.86751079037332,-7.074707544800006
Vývoz (meziroční index),Česko,2019,102.0884439686,9.860772316447264,2.0884439686000036
Vývoz (meziroční index),Česko,2018,102.9418083572,0.83590694051765,2.941808357200003
Vývoz (meziroční index),Česko,2017,106.4802705296,3.4373421536581183,6.480270529600006
Vývoz (meziroční index),Česko,2016,101.1074296542,-5.0458557709115,1.1074296542000042
Vývoz (meziroční index),Česko,2015,103.6,2.4652692233645856,3.5999999999999943
Vývoz (meziroční index),Česko,2014,113.0,9.07335907335909,13.0
Vývoz (meziroční index),Česko,2013,102.2,-9.557522123893802,2.200000000000003
Vývoz (meziroční index),Česko,2012,106.0,3.718199608610573,6.0
Vývoz (meziroční index),Česko,2011,110.1,3.8679245283018915,10.099999999999994
Vývoz (meziroční index),Česko,2010,114.8,4.268846503178936,14.799999999999997
